"","Aeria_eurimedia","Aeria_olena","Aremfoxia_ferra","Athesis_acrisione","Athesis_clearista","Athyrtis_mechanitis","Brevioleria_aelia","Brevioleria_arzalia","Brevioleria_coenina","Brevioleria_nsp1","Brevioleria_plisthenes","Brevioleria_seba","Callithomia_alexirrhoe","Callithomia_hezia","Callithomia_lenea","Ceratinia_iolaia","Ceratinia_neso","Ceratinia_tutia","Dircenna_adina","Dircenna_dero","Dircenna_jemina","Dircenna_klugii","Dircenna_loreta","Dircenna_olyras","Elzunia_humboldt","Elzunia_pavonii","Episcada_apuleia","Episcada_clausina","Episcada_doto","Episcada_hemixanthe","Episcada_hymen","Episcada_hymenaea","Episcada_mira","Episcada_nsp1","Episcada_nsp2","Episcada_philoclea","Episcada_polita","Episcada_salvinia","Episcada_striposis","Episcada_sulphurea","Episcada_sylvo","Episcada_ticidella","Episcada_trapezula","Episcada_vitrea","Epityches_eupompe","Eutresis_hypereia","Forbestra_equicola","Forbestra_olivencia","Forbestra_proceris","Genus1_nsp1","Genus2_andromica","Genus2_annette","Godyris_crinippa","Godyris_dircenna","Godyris_duillia","Godyris_hewitsoni","Godyris_kedema","Godyris_lauta","Godyris_nero","Godyris_panthyale","Godyris_sappho","Godyris_zavaleta","Greta_clavijoi","Greta_diaphanus","Greta_morgane","Haenschia_derama","Haenschia_sidonia","Heterosais_edessa","Heterosais_giulia","Heterosais_nephele","Hyalenna_alidella","Hyalenna_buckleyi","Hyalenna_paradoxa","Hyalenna_pascua","Hyalenna_perasippa","Hyalenna_sulmona","Hyalyris_antea","Hyalyris_coeno","Hyalyris_excelsa","Hyalyris_juninensis","Hyalyris_latilimbata","Hyalyris_mestra","Hyalyris_nsp1","Hyalyris_nsp2","Hyalyris_ocna","Hyalyris_oulita","Hyalyris_praxilla","Hyalyris_schlingeri","Hypoleria_adasa","Hypoleria_alema","Hypoleria_aureliana","Hypoleria_lavinia","Hypoleria_ocalea","Hypoleria_sarepta","Hypoleria_xenophis","Hypomenitis_alphesiboea","Hypomenitis_depauperata","Hypomenitis_dercetis","Hypomenitis_enigma","Hypomenitis_esula","Hypomenitis_gardneri","Hypomenitis_hermana","Hypomenitis_libethris","Hypomenitis_lojana","Hypomenitis_lydia","Hypomenitis_nspA","Hypomenitis_nspB","Hypomenitis_nspC","Hypomenitis_nspD","Hypomenitis_nspE","Hypomenitis_ochretis","Hypomenitis_oneidodes","Hypomenitis_ortygia","Hypomenitis_polissena","Hypomenitis_theudelinda","Hyposcada_anchiala","Hyposcada_dujardini","Hyposcada_illinissa","Hyposcada_kena","Hyposcada_schausi","Hyposcada_taliata","Hyposcada_virginiana","Hyposcada_zarepha","Hypothyris_anastasia","Hypothyris_cantobrica","Hypothyris_daphnis","Hypothyris_euclea","Hypothyris_fluonia","Hypothyris_lycaste","Hypothyris_mamercus","Hypothyris_mansuetus","Hypothyris_moebiusi","Hypothyris_ninonia","Hypothyris_nsp","Hypothyris_semifulva","Hypothyris_thea","Ithomia_adelinda","Ithomia_agnosia","Ithomia_amarilla","Ithomia_arduinna","Ithomia_avella","Ithomia_celemia","Ithomia_cleora","Ithomia_diasia","Ithomia_drymo","Ithomia_eleonora","Ithomia_ellara","Ithomia_heraldica","Ithomia_hyala","Ithomia_hymettia","Ithomia_iphianassa","Ithomia_jucunda","Ithomia_leila","Ithomia_lichyi","Ithomia_patilla","Ithomia_praeithomia","Ithomia_pseudoagalla","Ithomia_salapia","Ithomia_terra","Ithomia_terraEAST","Ithomia_xenos","Mcclungia_cymo","Mechanitis_lysimnia","Mechanitis_macrinus","Mechanitis_mazaeus","Mechanitis_menapis","Mechanitis_messenoides","Mechanitis_polymnia","Megoleria_orestilla","Megoleria_susiana","Melinaea_ethra","Melinaea_idae","Melinaea_isocomma","Melinaea_lilis","Melinaea_ludovica","Melinaea_marsaeus","Melinaea_menophilus","Melinaea_mnasias","Melinaea_mneme","Melinaea_mothone","Melinaea_satevis","Methona_confusa","Methona_curvifascia","Methona_grandior","Methona_maxima","Methona_singularis","Methona_themisto","Napeogenes_aethra","Napeogenes_apulia","Napeogenes_benigna","Napeogenes_cranto","Napeogenes_duessa","Napeogenes_flossina","Napeogenes_glycera","Napeogenes_gracilis","Napeogenes_harbona","Napeogenes_inachia","Napeogenes_larilla","Napeogenes_larina","Napeogenes_lycora","Napeogenes_nsp1","Napeogenes_nsp2","Napeogenes_nsp3","Napeogenes_peridia","Napeogenes_pharo","Napeogenes_rhezia","Napeogenes_sodalis","Napeogenes_stella","Napeogenes_sulphureophila","Napeogenes_sylphis","Napeogenes_tolosa","Napeogenes_verticilla","Napeogenes_zurippa","Oleria_aegle","Oleria_agarista","Oleria_amalda","Oleria_antaxis","Oleria_aquata","Oleria_assimilis","Oleria_astrea","Oleria_athalina","Oleria_attalia","Oleria_baizana","Oleria_bioculata","Oleria_boyeri","Oleria_cyrene","Oleria_deronda","Oleria_derondina","Oleria_didymaea","Oleria_enania","Oleria_estella","Oleria_fasciata","Oleria_flora","Oleria_fumata","Oleria_gunilla","Oleria_ilerdina","Oleria_makrena","Oleria_nsp","Oleria_onega","Oleria_padilla","Oleria_paula","Oleria_phenomoe","Oleria_quadrata","Oleria_quintina","Oleria_radina","Oleria_rubescens","Oleria_santineza","Oleria_sexmaculata","Oleria_similigena","Oleria_thiemei","Oleria_tigilla","Oleria_tremona","Oleria_vicina","Oleria_victorine","Oleria_zelica","Ollantaya_aegineta","Ollantaya_canilla","Ollantaya_olerioides","Olyras_crathis","Olyras_insignis","Pachacutia_baroni","Pachacutia_mantura","Pagyris_cymothoe","Pagyris_priscilla","Pagyris_ulla","Paititia_neglecta","Patricia_demylus","Patricia_dercyllidas","Patricia_oligyrtis","Placidina_euryanassa","Pseudoscada_acilla","Pseudoscada_erruca","Pseudoscada_florula","Pseudoscada_timnaCOSTARICA","Pseudoscada_timnaEASTERN","Pseudoscada_timnaWESTERN","Pteronymia_aletta","Pteronymia_alida","Pteronymia_alina","Pteronymia_alissa","Pteronymia_andreas","Pteronymia_artena","Pteronymia_asopo","Pteronymia_carlia","Pteronymia_cotytto","Pteronymia_dispar","Pteronymia_donella","Pteronymia_euritea","Pteronymia_forsteri","Pteronymia_fulvimargo","Pteronymia_gertschi","Pteronymia_granica","Pteronymia_hara","Pteronymia_inania","Pteronymia_latilla","Pteronymia_laura","Pteronymia_lonera","Pteronymia_medellina","Pteronymia_nsp1","Pteronymia_nsp2","Pteronymia_nsp3","Pteronymia_obscuratus","Pteronymia_olimba","Pteronymia_oneida","Pteronymia_ozia","Pteronymia_parva","Pteronymia_picta","Pteronymia_primula","Pteronymia_rufocincta","Pteronymia_sao","Pteronymia_serrata","Pteronymia_sexpunctata","Pteronymia_simplex","Pteronymia_tamina","Pteronymia_teresita","Pteronymia_thabena","Pteronymia_ticida","Pteronymia_tucuna","Pteronymia_veiaEAST","Pteronymia_veiaWEST","Pteronymia_vestilla","Pteronymia_zerlina","Sais_rosalia","Scada_karschina","Scada_kusa","Scada_reckia","Scada_zemira","Scada_zibia","Thyridia_psidii","Tithorea_harmonia","Tithorea_pacifica","Tithorea_tarricina","Veladyris_cytharista","Veladyris_electrea","Veladyris_pardalis","Velamysta_nsp1","Velamysta_peninna","Velamysta_phengites","Velamysta_pupilla"
"C1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"C6",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"C7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
